language	iso_code
ANCIENT_GREEK	grc
ARMENIAN_EASTERN	hye
ASSAMESE	asm
BELARUSIAN	bel
BENGALI	ben
BIHARI	mai
BRETON	bre
BULGARIAN	bul
CATALAN	cat
CLASSICAL_ARMENIAN	xcl
CORNISH	cor
CROATIAN	hrv
CZECH	ces
DANISH	dan
DIGOR_OSSETIAN	oss
DUTCH	nld
EASTERN_ARMENIAN	hye
EASTERN_FARSI	prs
EASTERN_FRISIAN	frs
ELFDALIAN	qov
ENGLISH	eng
FAROESE	fao
FRENCH	fra
FRISIAN	frs
GAELIC_SCOTTISH	gla
GERMAN	deu
GREEK	ell
GREEK_ANCIENT	grc
GUJARATI	guj
HINDI	hin
ICELANDIC	isl
IRISH	gle
IRISH_GAELIC	gle
IRON_OSSETIAN	oss
ITALIAN	ita
LATIN	lat
LITHUANIAN	lit
LUXEMBOURGISH	ltz
MACEDONIAN	mkd
MAGAHI	mag
MAITHILI	mai
MARATHI	mar
MIDDLE_CORNISH	cor
NEPALI	npi
NORWEGIAN_BOKMAAL	nor
NORWEGIAN_RIKSMAL	nor
OLD_CHURCH_SLAVONIC	chu
OLD_IRISH	sga
OLD_NORSE	non
ORIYA	ori
OSSETIC	oss
OSSETIC_DIGOR	oss
OSSETIC_IRON	oss
PERSIAN	fas
POLISH	pol
PORTUGUESE	por
PUNJABI_MAJHI	pan
ROMANIAN	ron
ROMANIAN_2	ron
ROMANSH_SURSILVAN	roh
RUSSIAN	rus
SANSKRIT	san
SERBOCROATIAN	srp
SERBO-CROATIAN	srp
SINHALA	sin
SLOVAK	slk
SLOVENIAN	slv
SORBIAN_UPPER	hsb
SORBIAN_LOWER	dsb
SPANISH	spa
STANDARD_GERMAN	deu
SWEDISH	swe
TAJIK	tgk
UKRAINIAN	ukr
URDU	urd
WELSH	cym
